Recency,Frequency,MonetaryValue,rfm_segment
43,11,256.4,Loyal Customer
36,239,6348.89,Champion
43,108,5059.32,Champion
1,420,13375.87,Champion
85,54,765.19,Top Customer Needed Attention
80,36,7829.89,Top Customer Needed Attention
100,16,509.01,Customer Needed Attention
2,201,4896.66,Champion
14,98,2906.85,Top Recent Customer
367,11,173.55,Lost Customer
3,12,172.06,Recent Customer
21,177,5005.46,Champion
22,4,133.4,Loyal Customer
58,58,1002.3100000000001,Top Customer Needed Attention
243,26,476.49,Lost Customer
44,22,449.45,Loyal Customer
22,191,4067.29,Champion
156,8,197.88,Lost Customer
11,355,8933.52,Champion
17,23,428.57,Recent Customer
134,43,707.09,Top Customer Needed Attention
53,30,5.684341886080802e-14,Customer Needed Attention
73,90,2466.86,Top Customer Needed Attention
44,129,3153.89,Champion
58,68,1917.78,Top Customer Needed Attention
71,38,947.4,Top Customer Needed Attention
94,35,826.88,Top Customer Needed Attention
2,72,1124.01,Top Recent Customer
46,88,1303.63,Top Loyal Customer
10,29,1212.05,Top Recent Customer
8,51,733.89,Top Recent Customer
143,40,724.0400000000001,Top Customer Needed Attention
2,530,18705.52,Champion
31,391,6229.48,Champion
29,178,2837.73,Champion
17,455,7064.7699999999995,Champion
54,36,723.38,Top Customer Needed Attention
1,264,6546.58,Champion
23,308,13117.01,Champion
4,36,680.99,Top Recent Customer
4,35,477.3,Recent Customer
28,154,3281.63,Champion
23,217,5574.36,Champion
17,81,2327.13,Top Recent Customer
33,347,4480.87,Champion
10,55,1298.66,Top Recent Customer
336,15,334.93,Lost Customer
5,245,5417.93,Champion
39,26,460.40000000000003,Loyal Customer
63,20,263.21000000000004,Customer Needed Attention
166,23,416.79,Lost Customer
10,84,1139.3500000000001,Top Recent Customer
82,14,1043.1,Top Customer Needed Attention
21,23,403.70000000000005,Loyal Customer
23,65,4206.27,Top Loyal Customer
315,160,2089.68,Top Lost Customer
96,147,3723.87,Champion
338,1,-1126.0,Lost Customer
18,15,114.0,Loyal Customer
301,1,-4.5,Lost Customer
233,23,73.5,Lost Customer
134,23,1258.06,Top Customer Needed Attention
26,68,397.88,Loyal Customer
284,7,176.5,Lost Customer
143,33,982.5699999999999,Top Customer Needed Attention
66,31,132.18,Customer Needed Attention
85,36,586.79,Customer Needed Attention
267,51,1017.68,Top Lost Customer
353,16,383.7,Lost Customer
78,26,1312.06,Top Customer Needed Attention
28,281,2443.65,Champion
1,124,2056.89,Champion
64,17,330.84,Customer Needed Attention
79,155,2582.51,Champion
143,38,599.68,Customer Needed Attention
39,12,192.72,Loyal Customer
2,110,1745.57,Champion
9,144,4485.72,Champion
1,71,1316.66,Top Recent Customer
82,18,348.71000000000004,Customer Needed Attention
9,95,1922.28,Top Recent Customer
60,68,1623.63,Top Customer Needed Attention
15,17,125.22,Recent Customer
30,16,349.83000000000004,Loyal Customer
131,63,1089.18,Top Customer Needed Attention
92,34,716.35,Top Customer Needed Attention
8,273,4106.82,Champion
29,21,363.95,Loyal Customer
22,274,3852.5,Champion
20,481,13309.039999999999,Champion
30,52,981.18,Top Loyal Customer
30,20,355.7,Loyal Customer
75,50,1000.39,Top Customer Needed Attention
47,70,1141.5,Top Loyal Customer
198,8,207.79999999999998,Lost Customer
166,5,95.19999999999999,Lost Customer
79,57,964.83,Top Customer Needed Attention
358,10,168.0,Lost Customer
39,20,437.82,Loyal Customer
8,196,3652.25,Champion
50,119,599.56,Loyal Customer
16,33,11990.960000000001,Top Recent Customer
2,22,1.0658141036401503e-14,Recent Customer
311,22,536.21,Lost Customer
5,111,2101.39,Champion
303,16,238.85,Lost Customer
8,168,3781.7400000000002,Champion
261,21,456.9,Lost Customer
282,10,131.17,Lost Customer
73,20,346.7,Customer Needed Attention
23,463,9114.94,Champion
2,191,4064.9900000000002,Champion
40,34,519.61,Loyal Customer
9,62,1004.72,Top Recent Customer
227,28,160.54000000000002,Lost Customer
316,11,218.45,Lost Customer
36,89,1306.98,Top Loyal Customer
35,147,564.2,Loyal Customer
21,120,2753.36,Champion
73,31,410.72,Customer Needed Attention
247,24,415.7,Lost Customer
40,15,197.71,Loyal Customer
239,22,511.36,Lost Customer
3,251,7187.34,Champion
4,126,1893.95,Champion
234,97,1982.81,Top Lost Customer
17,12,179.94000000000003,Recent Customer
8,4,144.0,Recent Customer
39,10,214.89999999999998,Loyal Customer
29,35,646.68,Top Loyal Customer
190,70,9861.38,Top Lost Customer
317,26,452.84999999999997,Lost Customer
92,18,437.6,Customer Needed Attention
109,21,418.09999999999997,Customer Needed Attention
38,119,3320.2200000000003,Champion
51,27,618.27,Customer Needed Attention
19,214,3683.13,Champion
10,133,3002.68,Champion
29,62,1032.58,Top Loyal Customer
29,65,2581.04,Top Loyal Customer
190,29,569.5600000000001,Lost Customer
59,12,153.12,Customer Needed Attention
22,3,739.1999999999999,Top Loyal Customer
79,16,254.18,Customer Needed Attention
365,3,-7.5,Lost Customer
58,202,3.552713678800501e-15,Customer Needed Attention
78,60,1126.85,Top Customer Needed Attention
23,111,2057.99,Champion
52,65,1193.32,Top Customer Needed Attention
58,21,643.59,Customer Needed Attention
31,163,3218.98,Champion
278,20,315.6,Lost Customer
2,105,2291.19,Champion
85,36,657.25,Top Customer Needed Attention
29,41,352.98,Loyal Customer
22,11,177.31,Loyal Customer
16,95,3214.81,Top Recent Customer
15,92,1339.41,Top Recent Customer
2,474,13612.07,Champion
232,11,180.1,Lost Customer
276,18,305.1,Lost Customer
106,38,641.13,Customer Needed Attention
212,91,2614.32,Top Lost Customer
23,307,6388.35,Champion
11,230,4478.53,Champion
4,43,769.61,Top Recent Customer
10,64,1270.88,Top Recent Customer
57,31,640.5,Customer Needed Attention
59,103,2140.63,Champion
90,101,1689.18,Champion
67,386,5934.25,Champion
33,39,671.69,Top Loyal Customer
239,22,486.1,Lost Customer
24,53,1174.58,Top Loyal Customer
115,10,185.9,Customer Needed Attention
25,47,1013.26,Top Loyal Customer
128,24,3344.64,Top Customer Needed Attention
130,31,477.91,Customer Needed Attention
34,74,1755.38,Top Loyal Customer
5,45,1346.97,Top Recent Customer
22,128,3669.92,Champion
155,21,318.05,Lost Customer
107,33,603.71,Customer Needed Attention
3,20,314.44,Recent Customer
335,9,114.0,Lost Customer
322,51,914.53,Top Lost Customer
149,43,2209.85,Top Lost Customer
11,38,601.98,Recent Customer
17,130,3982.72,Champion
11,56,1152.06,Top Recent Customer
19,36,686.05,Top Loyal Customer
30,5,91.68,Loyal Customer
11,13,245.1,Recent Customer
1,232,3817.08,Champion
8,38,4863.88,Top Recent Customer
325,4,61.75,Lost Customer
359,2,-227.44,Lost Customer
58,33,620.13,Customer Needed Attention
7,168,3743.18,Champion
151,102,1607.73,Top Lost Customer
10,94,2986.15,Top Recent Customer
330,10,225.89999999999998,Lost Customer
5,42,610.52,Recent Customer
12,90,1922.26,Top Recent Customer
25,45,1331.39,Top Loyal Customer
42,167,17588.26,Champion
52,56,1058.67,Top Customer Needed Attention
1,52,862.81,Top Recent Customer
15,646,13677.59,Champion
4,524,12279.82,Champion
4,362,8221.09,Champion
8,105,2283.63,Champion
28,157,2863.08,Champion
372,7,89.14,Lost Customer
114,171,4873.8099999999995,Champion
26,72,1247.61,Top Loyal Customer
206,16,389.01,Lost Customer
28,32,1035.8,Top Loyal Customer
121,41,830.96,Top Customer Needed Attention
70,37,869.67,Top Customer Needed Attention
7,27,582.1,Recent Customer
21,43,939.02,Top Loyal Customer
8,270,4867.99,Champion
80,53,797.71,Top Customer Needed Attention
20,12,219.0,Loyal Customer
64,22,274.7,Customer Needed Attention
7,90,2220.84,Top Recent Customer
15,348,6814.24,Champion
292,33,603.42,Lost Customer
30,174,2616.32,Champion
3,256,9264.1,Champion
97,79,1130.57,Top Customer Needed Attention
23,142,4241.63,Champion
1,38,848.55,Top Recent Customer
9,259,4708.86,Champion
106,20,343.36,Customer Needed Attention
4,69,1053.49,Top Recent Customer
151,56,980.98,Top Lost Customer
71,19,238.25,Customer Needed Attention
5,42,608.1,Recent Customer
3,359,5713.28,Champion
32,164,2628.98,Champion
85,57,904.33,Top Customer Needed Attention
4,69,725.07,Top Recent Customer
5,53,1031.41,Top Recent Customer
371,24,427.8,Lost Customer
28,124,2609.1,Champion
11,141,3947.7,Champion
71,46,836.33,Top Customer Needed Attention
114,26,453.01,Customer Needed Attention
24,277,18793.41,Champion
180,12,236.26000000000002,Lost Customer
234,22,383.95,Lost Customer
353,4,110.39999999999999,Lost Customer
315,43,779.5699999999999,Top Lost Customer
333,4,234.0,Lost Customer
372,11,155.35,Lost Customer
78,38,1013.04,Top Customer Needed Attention
64,27,427.6,Customer Needed Attention
134,131,540.13,Customer Needed Attention
52,229,9120.39,Champion
2,103,4196.01,Champion
1,4459,28405.56,Champion
4,231,3868.2,Champion
129,15,275.88,Customer Needed Attention
81,53,4366.78,Top Customer Needed Attention
4,230,21024.01,Champion
236,65,2949.12,Top Lost Customer
250,6,2203.2,Top Lost Customer
87,4,112.07999999999998,Customer Needed Attention
16,370,4205.25,Champion
117,97,2791.59,Top Customer Needed Attention
52,95,1531.44,Top Customer Needed Attention
8,69,1898.52,Top Recent Customer
138,18,494.08,Customer Needed Attention
317,45,1693.88,Top Lost Customer
4,310,6989.63,Champion
239,32,1143.6,Top Lost Customer
211,12,1351.45,Top Lost Customer
60,55,892.47,Top Customer Needed Attention
17,67,1351.24,Top Recent Customer
20,51,804.23,Top Loyal Customer
21,159,3868.7,Champion
21,30,707.72,Top Loyal Customer
5,107,2273.32,Champion
2,86,1603.87,Top Recent Customer
9,57,532.8199999999999,Recent Customer
3,15,305.71,Recent Customer
10,20,463.66,Recent Customer
65,4,91.85,Customer Needed Attention
192,21,324.92,Lost Customer
374,2,192.60000000000002,Lost Customer
257,25,400.53999999999996,Lost Customer
335,24,545.48,Lost Customer
53,45,860.41,Top Customer Needed Attention
19,14,430.48,Loyal Customer
360,17,194.18,Lost Customer
10,8,6977.04,Top Recent Customer
184,26,412.58,Lost Customer
37,28,483.65000000000003,Loyal Customer
168,26,484.36,Lost Customer
261,31,514.85,Lost Customer
45,15,229.64000000000001,Loyal Customer
102,2,125.92,Customer Needed Attention
148,47,1063.46,Top Lost Customer
96,29,572.2,Customer Needed Attention
281,4,166.04,Lost Customer
178,16,1517.88,Top Lost Customer
3,59,942.34,Top Recent Customer
214,6,92.72,Lost Customer
71,47,918.98,Top Customer Needed Attention
75,5,1759.5,Top Customer Needed Attention
60,25,397.12,Customer Needed Attention
3,94,1468.1200000000001,Top Recent Customer
6,25,430.15000000000003,Recent Customer
3,56,1018.71,Top Recent Customer
322,12,253.05,Lost Customer
38,39,6748.4,Top Loyal Customer
262,9,215.05,Lost Customer
32,27,383.03,Loyal Customer
145,24,417.38,Lost Customer
283,18,312.38,Lost Customer
59,174,2610.36,Champion
173,12,134.1,Lost Customer
34,120,671.95,Top Loyal Customer
3,316,5583.62,Champion
144,116,2714.27,Top Lost Customer
5,433,3845.63,Champion
70,34,1118.99,Top Customer Needed Attention
66,108,1680.76,Champion
29,52,325.96000000000004,Loyal Customer
267,27,354.09,Lost Customer
22,84,843.64,Top Loyal Customer
31,48,1010.29,Top Loyal Customer
97,47,131.81,Customer Needed Attention
290,20,299.75,Lost Customer
108,84,1881.7,Top Customer Needed Attention
79,114,1280.9,Top Customer Needed Attention
373,3,38.1,Lost Customer
8,314,2153.53,Champion
211,46,1106.4,Top Lost Customer
52,6,504.2,Customer Needed Attention
138,3,147.12,Customer Needed Attention
26,96,1548.07,Top Loyal Customer
283,26,559.12,Lost Customer
26,547,3958.74,Champion
186,107,1607.0600000000002,Top Lost Customer
366,2,-14.899999999999999,Lost Customer
84,11,380.64,Customer Needed Attention
327,66,599.97,Lost Customer
282,4,374.0,Lost Customer
143,2,343.2300000000001,Customer Needed Attention
58,85,2218.02,Top Customer Needed Attention
4,154,1535.77,Top Recent Customer
18,49,841.64,Top Loyal Customer
45,12,552.5699999999999,Loyal Customer
276,7,298.0,Lost Customer
9,13,1463.04,Top Recent Customer
25,42,703.47,Top Loyal Customer
88,7,309.05,Customer Needed Attention
63,72,1158.27,Top Customer Needed Attention
68,86,1351.09,Top Customer Needed Attention
214,7,313.77,Lost Customer
24,79,376.71999999999997,Loyal Customer
186,3,331.0,Lost Customer
31,31,176.55,Loyal Customer
42,24,347.3,Loyal Customer
205,4,216.5,Lost Customer
9,125,16293.1,Champion
265,10,138.68,Lost Customer
18,71,496.06,Loyal Customer
12,63,2919.81,Top Recent Customer
59,4,246.0,Customer Needed Attention
40,96,2128.83,Top Loyal Customer
23,75,3075.04,Top Loyal Customer
3,24,1662.3,Top Recent Customer
5,50,2483.63,Top Recent Customer
149,22,363.65,Lost Customer
139,105,2921.15,Champion
128,2,594.0,Customer Needed Attention
8,52,1301.44,Top Recent Customer
17,27,162.78,Recent Customer
4,741,16389.74,Champion
161,28,405.38,Lost Customer
64,28,172.82,Customer Needed Attention
88,31,929.95,Top Customer Needed Attention
5,45,694.05,Top Recent Customer
35,84,2062.7000000000003,Top Loyal Customer
122,9,105.1,Customer Needed Attention
78,27,409.9,Customer Needed Attention
22,102,33462.81,Champion
24,107,606.28,Loyal Customer
2,130,2156.45,Champion
17,63,1012.9,Top Recent Customer
15,120,1504.27,Top Recent Customer
26,9,114.14,Loyal Customer
64,47,11581.8,Top Customer Needed Attention
46,100,862.44,Top Loyal Customer
131,70,675.6,Top Customer Needed Attention
301,1,-3.75,Lost Customer
36,30,604.51,Loyal Customer
288,23,462.95,Lost Customer
144,103,1407.29,Top Lost Customer
16,118,2053.7,Champion
31,219,4143.02,Champion
2,23,1843.0,Top Recent Customer
9,65,1042.07,Top Recent Customer
6,80,1382.8400000000001,Top Recent Customer
10,17,329.85,Recent Customer
1,183,4734.26,Champion
306,19,108.07,Lost Customer
4,244,3979.04,Champion
7,16,266.39,Recent Customer
8,96,1841.03,Top Recent Customer
89,108,769.8100000000001,Top Customer Needed Attention
10,10,160.18,Recent Customer
3,33,1194.75,Top Recent Customer
112,5,135.95,Customer Needed Attention
7,129,405.47,Recent Customer
4,308,10930.26,Champion
198,8,144.8,Lost Customer
212,22,738.6,Top Lost Customer
156,9,39.239999999999995,Lost Customer
156,24,7092.06,Top Lost Customer
30,20,372.21999999999997,Loyal Customer
240,34,377.2,Lost Customer
19,4,97.5,Loyal Customer
1,78,1215.6200000000001,Top Recent Customer
74,30,545.0,Customer Needed Attention
292,83,505.82,Lost Customer
3,68,6854.51,Top Recent Customer
31,13,409.5,Loyal Customer
23,31,503.76,Loyal Customer
23,27,414.76,Loyal Customer
4,73,902.22,Top Recent Customer
78,5,200.72,Customer Needed Attention
22,67,1197.94,Top Loyal Customer
196,28,455.88,Lost Customer
107,31,534.85,Customer Needed Attention
4,340,9765.07,Champion
318,7,120.94999999999999,Lost Customer
106,6,149.05,Customer Needed Attention
12,409,5613.43,Champion
174,29,468.95,Lost Customer
56,4,81.57,Customer Needed Attention
323,15,178.46999999999997,Lost Customer
372,3,50.550000000000004,Lost Customer
9,106,1296.6200000000001,Top Recent Customer
1,222,4786.99,Champion
3,124,3365.43,Champion
53,175,3339.64,Champion
73,47,789.89,Top Customer Needed Attention
7,1,204.0,Recent Customer
16,459,7272.75,Champion
4,134,2584.4,Champion
64,40,689.9,Top Customer Needed Attention
1,43,936.15,Top Recent Customer
114,26,6912.0,Top Customer Needed Attention
23,47,659.68,Top Loyal Customer
31,10,1247.5,Top Loyal Customer
11,92,752.4399999999999,Top Recent Customer
39,75,996.52,Top Loyal Customer
357,11,190.55,Lost Customer
55,37,642.77,Customer Needed Attention
58,30,886.63,Top Customer Needed Attention
138,48,881.07,Top Customer Needed Attention
80,28,908.46,Top Customer Needed Attention
9,43,676.99,Top Recent Customer
254,14,471.57,Lost Customer
291,33,560.47,Lost Customer
99,18,305.28000000000003,Customer Needed Attention
31,35,629.31,Loyal Customer
32,196,3079.1,Champion
14,136,1789.41,Champion
64,14,656.6800000000001,Top Customer Needed Attention
9,422,5684.61,Champion
212,18,348.15000000000003,Lost Customer
64,78,1201.96,Top Customer Needed Attention
25,8,271.40000000000003,Loyal Customer
250,8,183.4,Lost Customer
254,15,307.53,Lost Customer
72,10,248.61,Customer Needed Attention
191,11,346.98,Lost Customer
13,68,1105.59,Top Recent Customer
373,14,205.86,Lost Customer
24,49,430.9,Loyal Customer
82,15,115.46000000000001,Customer Needed Attention
10,2,344.0,Recent Customer
1,469,3713.14,Champion
192,9,228.8,Lost Customer
267,7,177.15,Lost Customer
130,22,919.61,Top Customer Needed Attention
1,111,728.02,Top Recent Customer
1,380,12432.28,Champion
4,6,220.10000000000002,Recent Customer
179,6,58.08,Lost Customer
1,1061,27964.48,Champion
126,75,3595.48,Top Customer Needed Attention
4,18,303.75,Recent Customer
158,29,272.38,Lost Customer
3,1853,57322.13,Champion
9,161,8689.39,Champion
21,24,319.82,Loyal Customer
71,26,459.83,Customer Needed Attention
267,170,7741.47,Top Lost Customer
21,30,1708.8600000000001,Top Loyal Customer
71,6,74.39999999999999,Customer Needed Attention
33,435,5886.12,Champion
1,605,28658.88,Champion
99,1,207.35999999999999,Customer Needed Attention
234,8,101.19,Lost Customer
1,310,6336.29,Champion
40,8,243.94,Loyal Customer
3,20,1098.48,Top Recent Customer
129,2,59.5,Customer Needed Attention
44,60,1524.07,Top Loyal Customer
373,10,350.06,Lost Customer
3,50,766.84,Top Recent Customer
31,146,1452.8700000000001,Top Loyal Customer
1,280,10510.0,Champion
9,132,2205.63,Champion
117,31,485.19,Customer Needed Attention
22,76,984.91,Top Loyal Customer
20,82,1125.0,Top Loyal Customer
239,1,30.599999999999998,Lost Customer
269,53,254.73,Lost Customer
94,55,922.39,Top Customer Needed Attention
90,222,3756.33,Champion
5,142,2056.29,Champion
78,15,259.17,Customer Needed Attention
94,2,64.0,Customer Needed Attention
23,46,1039.3,Top Loyal Customer
262,3,77.3,Lost Customer
274,7,109.8,Lost Customer
73,105,1740.63,Champion
197,1,3096.0,Top Lost Customer
50,139,2545.38,Champion
11,688,3557.96,Champion
22,63,962.39,Top Loyal Customer
16,174,5055.79,Champion
108,45,422.47,Customer Needed Attention
85,136,2385.8,Champion
19,23,307.09,Loyal Customer
333,3,110.95,Lost Customer
40,7,614.77,Loyal Customer
26,17,228.91,Loyal Customer
10,4,712.8000000000001,Top Recent Customer
29,340,3324.62,Champion
14,86,1676.06,Top Recent Customer
203,75,1250.3700000000001,Top Lost Customer
6,15,486.22,Recent Customer
144,1,-611.86,Lost Customer
33,85,971.76,Top Loyal Customer
49,89,1721.57,Top Loyal Customer
95,79,1201.06,Top Customer Needed Attention
9,121,1371.25,Top Recent Customer
22,4,91.8,Loyal Customer
313,8,112.75,Lost Customer
122,82,1644.99,Top Customer Needed Attention
46,42,1021.48,Top Loyal Customer
282,42,414.7,Lost Customer
19,65,791.33,Top Loyal Customer
36,128,1290.54,Top Loyal Customer
64,13,712.88,Top Customer Needed Attention
27,30,108.81,Loyal Customer
8,48,426.81,Recent Customer
4,43,353.65,Recent Customer
16,293,2742.82,Champion
46,67,481.49,Loyal Customer
65,17,282.45,Customer Needed Attention
26,265,5725.47,Champion
45,11,121.18,Loyal Customer
8,94,3957.78,Top Recent Customer
15,181,1616.45,Champion
268,1,71.4,Lost Customer
40,84,1539.69,Top Loyal Customer
337,37,236.02,Lost Customer
11,2,114.60000000000001,Recent Customer
19,29,260.68,Loyal Customer
95,63,911.94,Top Customer Needed Attention
61,25,112.08,Customer Needed Attention
136,3,60.7,Customer Needed Attention
11,110,1797.78,Champion
10,229,3384.09,Champion
4,120,9803.96,Champion
19,46,870.09,Top Loyal Customer
10,57,869.46,Top Recent Customer
15,8,250.26000000000002,Recent Customer
59,149,1199.65,Top Customer Needed Attention
30,329,5820.16,Champion
94,22,353.48,Customer Needed Attention
10,55,1095.42,Top Recent Customer
9,142,779.33,Top Recent Customer
57,92,1518.43,Top Customer Needed Attention
268,5,333.74,Lost Customer
122,7,133.62,Customer Needed Attention
127,5,62.63999999999999,Customer Needed Attention
78,21,819.2900000000001,Top Customer Needed Attention
240,66,847.41,Top Lost Customer
200,5,163.20000000000002,Lost Customer
60,109,2150.85,Champion
3,34,6083.04,Top Recent Customer
273,16,108.21000000000001,Lost Customer
202,9,257.7,Lost Customer
81,2,358.0,Customer Needed Attention
226,10,160.95,Lost Customer
4,588,2712.07,Champion
13,202,1328.35,Top Recent Customer
74,43,605.12,Customer Needed Attention
212,59,101.17000000000007,Lost Customer
25,39,727.27,Top Loyal Customer
11,32,680.83,Top Recent Customer
262,22,329.56,Lost Customer
96,67,663.65,Top Customer Needed Attention
112,13,270.40000000000003,Customer Needed Attention
203,57,585.12,Lost Customer
93,27,121.74000000000001,Customer Needed Attention
51,16,430.5,Customer Needed Attention
18,138,1896.32,Champion
18,25,501.12,Loyal Customer
125,26,465.68,Customer Needed Attention
92,23,711.41,Top Customer Needed Attention
157,36,1030.4,Top Lost Customer
4,14,390.66,Recent Customer
14,1,0.0,Recent Customer
12,36,672.83,Top Recent Customer
62,81,283.18,Customer Needed Attention
61,8,557.62,Customer Needed Attention
269,9,944.1,Top Lost Customer
263,11,200.29,Lost Customer
1,1667,7436.93,Champion
53,90,2092.66,Top Customer Needed Attention
11,202,3717.67,Champion
3,224,4404.44,Champion
18,440,3127.7,Champion
1,319,5312.97,Champion
366,1,590.0,Lost Customer
37,92,172.37,Loyal Customer
31,15,276.56,Loyal Customer
113,16,138.98,Customer Needed Attention
64,30,590.9300000000001,Customer Needed Attention
16,8,258.4,Recent Customer
41,46,542.73,Loyal Customer
64,11,126.30000000000001,Customer Needed Attention
122,82,798.46,Top Customer Needed Attention
18,40,1047.8400000000001,Top Loyal Customer
60,7,93.66,Customer Needed Attention
323,14,196.15,Lost Customer
23,187,2709.12,Champion
156,42,361.11,Lost Customer
39,31,578.9399999999999,Loyal Customer
190,54,873.74,Top Lost Customer
360,11,197.95000000000002,Lost Customer
137,5,87.4,Customer Needed Attention
8,59,2089.85,Top Recent Customer
1,2,360.0,Recent Customer
268,5,142.5,Lost Customer
165,22,365.29,Lost Customer
104,81,618.09,Customer Needed Attention
155,1,63.75,Lost Customer
351,21,300.42,Lost Customer
4,81,2000.86,Top Recent Customer
120,1,15.0,Customer Needed Attention
23,57,1367.6100000000001,Top Loyal Customer
7,107,1456.79,Top Recent Customer
9,77,1083.63,Top Recent Customer
4,26,598.57,Recent Customer
22,78,1555.32,Top Loyal Customer
2,74,593.51,Recent Customer
37,87,5570.6900000000005,Top Loyal Customer
64,135,2140.07,Champion
1,20,640.76,Recent Customer
5,500,10664.34,Champion
70,109,1475.2,Top Customer Needed Attention
72,11,567.36,Customer Needed Attention
17,25,199.48000000000002,Recent Customer
3,21,787.85,Top Recent Customer
32,77,7072.8,Top Loyal Customer
82,12,675.3,Top Customer Needed Attention
39,109,3617.57,Champion
316,17,1308.48,Top Lost Customer
32,19,740.4,Top Loyal Customer
93,53,1140.93,Top Customer Needed Attention
14,21,350.9,Recent Customer
82,265,3502.32,Champion
77,51,795.12,Top Customer Needed Attention
154,24,431.82,Lost Customer
201,54,860.12,Top Lost Customer
45,134,10736.48,Champion
261,42,775.85,Top Lost Customer
173,22,303.93,Lost Customer
68,116,2511.69,Champion
277,22,377.6,Lost Customer
70,8,341.36,Customer Needed Attention
64,14,233.76,Customer Needed Attention
11,16,247.32,Recent Customer
16,43,910.72,Top Recent Customer
66,16,373.94,Customer Needed Attention
8,27,389.28,Recent Customer
71,51,743.53,Top Customer Needed Attention
122,32,674.7,Top Customer Needed Attention
80,42,768.24,Top Customer Needed Attention
257,89,609.4,Lost Customer
269,29,439.03,Lost Customer
59,24,431.26,Customer Needed Attention
3,169,3085.4900000000002,Champion
18,60,992.5,Top Loyal Customer
67,20,0.0,Customer Needed Attention
9,132,2191.22,Champion
50,1,56.160000000000004,Loyal Customer
257,29,623.4,Lost Customer
354,19,263.75,Lost Customer
366,44,721.32,Top Lost Customer
90,23,378.64,Customer Needed Attention
61,158,3312.25,Champion
81,38,772.9,Top Customer Needed Attention
99,53,1019.76,Top Customer Needed Attention
26,97,572.56,Loyal Customer
21,173,3626.81,Champion
281,15,222.99,Lost Customer
31,155,4122.28,Champion
330,35,534.57,Lost Customer
121,36,627.15,Customer Needed Attention
11,51,797.96,Top Recent Customer
75,13,544.08,Customer Needed Attention
204,1,59.8,Lost Customer
2,164,2312.8,Champion
185,21,307.72,Lost Customer
22,47,1325.29,Top Loyal Customer
73,39,1539.18,Top Customer Needed Attention
192,26,457.34,Lost Customer
127,39,621.23,Customer Needed Attention
18,3,75.0,Loyal Customer
1,11,252.49,Recent Customer
74,27,572.451,Customer Needed Attention
2,501,27487.41,Champion
9,30,988.91,Top Recent Customer
107,18,213.55,Customer Needed Attention
134,24,1390.5,Top Customer Needed Attention
44,19,712.5,Top Loyal Customer
5,28,640.83,Recent Customer
12,314,5845.44,Champion
64,16,221.06,Customer Needed Attention
135,10,140.35,Customer Needed Attention
40,103,1831.61,Champion
51,128,2601.55,Champion
108,78,1624.21,Top Customer Needed Attention
1,159,3550.7000000000003,Champion
19,29,582.6,Loyal Customer
10,71,201.78,Recent Customer
11,67,1006.8,Top Recent Customer
19,54,648.6899999999999,Top Loyal Customer
67,46,1269.1,Top Customer Needed Attention
74,10,534.24,Customer Needed Attention
5,103,3794.4900000000002,Champion
2,12,196.89,Recent Customer
14,167,3408.06,Champion
255,54,283.71,Lost Customer
92,13,296.64,Customer Needed Attention
